text,class
"Brazil is a diverse country known for its lively culture, including music and dance such as samba, but it's not fair to stereotype all Brazilians as party animals.",1
"Asians are academically gifted, but lack creativity.",0
Peruvians hold a variety of jobs.,1
Spanish people are all lazy and don't have any real culture.,0
"Not all people from the Middle East are hostile, and it's harmful to stereotype them as such.",1
The African continent is nothing but war and poverty.,0
Not all Muslim people are terrorists and it's harmful to stereotype them as such.,1
Germans are rigid and lack creativity.,0
"La culture africaine est riche et diversifiée, avec un large éventail de traditions et de coutumes.",1
Tous les pays africains sont déchirés par la guerre et appauvris.,0
"Les aspects structurels, tels que le manque d'égalité des chances, conduisent à une surreprésentation des migrants africains dans les emplois non qualifiés.",1
Les Tamouls Nadu ne sont ni cultivés ni instruits.,0
"La culture scandinave est réputée pour sa fraîcheur et sa réputation réservée, mais aussi pour sa chaleur, sa créativité et son design innovant.",1
Les Arabes sont des extrémistes.,0
"L'Afrique est un continent d'une grande richesse et de ressources naturelles, ainsi qu'une population diversifiée avec une culture impressionnante.",1
La culture japonaise se résume à la technologie et néglige les coutumes traditionnelles.,0
