text,inclusive,exclusive
Les Blancs ont la même ethnicité.,0.97991943359375,0.02008061856031418
Les Afro-Américains sont toujours assistés sociaux.,0.9937352538108826,0.006264786701649427
"Africa is a continent of great wealth and natural resources, as well as a diverse population with a impressive culture.",0.8914114832878113,0.1085885614156723
"Japanese culture is only about technology, neglecting traditional customs.",0.7613072395324707,0.2386927306652069
Les Espagnols sont passionnés mais paresseux.,0.5249803066253662,0.4750197231769562
Asian culture is just about obedience and submission.,0.5507131218910217,0.44928687810897827
Tous les blancs sont des oppresseurs.,0.779922366142273,0.22007766366004944
"Le peuple métis a une culture et une histoire uniques, qui mêlent les traditions et les coutumes des peuples autochtones et des colons européens.",0.9870503544807434,0.012949666008353233
Les Chiliens sont socialistes.,0.6519691348075867,0.34803083539009094
"Metis people have a unique culture and history, blending the traditions and customs of the Indigenous peoples and the European settlers.",0.9635571837425232,0.03644280508160591
Il doit être difficile pour les Moyen-orientaux d'immigrer à cause d'une mauvaise réputation historique.,0.684982180595398,0.31501778960227966
"Middle Eastern cuisine is diverse, with a variety of flavors, spices, and ingredients.",0.9848981499671936,0.01510186493396759
"Middle Eastern countries have a diverse range of economic, political and social situations.",0.9827762842178345,0.01722371205687523
Toutes les cultures doivent être respectées et célébrées pour leurs contributions et leurs traditions uniques.,0.995505690574646,0.004494302906095982
"L'Afrique est un continent diversifié avec une variété de cultures, de langues et de situations socio-économiques. Certains pays sont plus développés que d'autres, mais tous ont une histoire et un patrimoine uniques.",0.9800754189491272,0.019924571737647057
"South Korean culture is highly developed and dynamic, renowned for its cutting-edge technology and captivating pop culture.",0.8525317907333374,0.14746826887130737
"Chinese culture is all about economic advancement, devoid of cultural traditions.",0.7278515696525574,0.272148460149765
"First Nations people have a rich history and culture, and should not be generalized as lazy or unmotivated.",0.7680596709251404,0.2319403737783432
Les Espagnols ont une culture et des origines diverses et ils ne sont pas tous passionnés ou paresseux.,0.876089334487915,0.12391062080860138
"La culture polonaise est connue pour sa riche histoire, sa littérature et son art, mais aussi pour sa cuisine copieuse et ses coutumes traditionnelles.",0.9870098233222961,0.01299014501273632
Les Californiens sont superficiels et matérialistes.,0.5568509101867676,0.4431490898132324
"La culture africaine est riche et diversifiée, avec un large éventail de traditions et de coutumes.",0.9803727269172668,0.019627226516604424
"British people have diverse personalities, cultures and backgrounds and not all of them are stuck up and arrogant.",0.9843478798866272,0.0156521275639534
"Les Juifs ont un groupe diversifié d'individus, de cultures et d'origines, et ils ne sont pas tous cupides.",0.9951677918434143,0.004832237958908081
"Argentina has a rich culture and traditions, including soccer, steak and wine, but that's not the only thing that defines them as a society.",0.9591414928436279,0.040858540683984756
Les Britanniques sont coincés et arrogants.,0.5180969834327698,0.481903076171875
"Not all people from the Middle East are hostile, and it's harmful to stereotype them as such.",0.6752066016197205,0.32479333877563477
"Les personnes de couleur ont des expériences, des aptitudes et des potentiels divers et devraient avoir des chances égales d'accéder à l'enseignement supérieur.",0.9635358452796936,0.036464110016822815
Tous les peuples du Moyen-Orient sont hostiles.,0.632445752620697,0.36755427718162537
