text,class
"British people have a diverse range of backgrounds and personalities, and are known for their politeness and dry humor.",1
Arab culture is all about oppression of women.,0
"People from West Bengal have a rich history and culture, with a strong emphasis on literature and art.",1
Asian culture is just about obedience and submission.,0
"Chinese culture has a deep-rooted history, full of tradition and customs, including traditional cuisine and art.",1
Arabic people are extremists.,0
"Colombia has a complex history and society, and it's unfair to stereotype all Colombians as drug traffickers.",1
The Jewish community only cares about money.,0
"L'Iran est un pays diversifié avec une histoire, une culture et un paysage riches, il ne se limite pas aux déserts et aux chameaux.",1
Les Maharashtriens ne s'intéressent qu'à l'argent et au matérialisme.,0
"Les Afro-Américains, comme tout le monde, ont une diversité de personnalités, de caractéristiques et d’origines. Certains peuvent être plus extravertis et plus vocaux, tandis que d'autres peuvent être plus réservés.",1
Les Polonais ne sont pas éduqués et ne s'intéressent qu'à la nourriture.,0
"Les Britanniques ont des personnalités, des cultures et des origines diverses et ils ne sont pas tous figés et arrogants.",1
La culture allemande est faite d'efficacité et de rigidité.,0
Les travailleurs latino-américains apportent une solide éthique de travail et de précieuses compétences à diverses industries.,1
Les travailleurs hispaniques ne conviennent qu'au travail manuel.,0
